site_name,country,text_type,source,text,chars
Ajanta Caves,India,qa,curated_csv,"Question: Where is Ajanta Caves? Answer: Ajanta Caves is in India, Asia.",72
Ajanta Caves,India,qa,curated_csv,Question: What is the architecture of Ajanta Caves? Answer: Rock-cut cave architecture using Basalt.,100
Ajanta Caves,India,qa,curated_csv,"Question: What era is Ajanta Caves from? Answer: Ajanta Caves belongs to the 2nd century BCE - 6th century CE era, associated with Ancient Indian (Buddhist).",157
Ajanta Caves,India,qa,curated_csv,Question: What religion is linked to Ajanta Caves? Answer: Buddhism. Structure type: 30 caves. Preservation: Good.,114
Ajanta Caves,India,qa,curated_csv,Question: Tell me about Ajanta Caves. Answer: Site: Ajanta Caves. Country: India. Continent: Asia. Era: 2nd century BCE - 6th century CE (midpoint 200 CE). Civilization: Ancient Indian (Buddhist). Religion: Buddhism. Architecture: Rock-cut cave architecture. Material: Basalt. Structure: 30 caves. Preservation: Good. Popularity: High.,335
Ajanta Caves,India,qa,wikipedia_rest,"Question: Summarize Ajanta Caves. Answer: The Ajanta Caves are 30 rock-cut Buddhist cave monuments dating from the second century BCE to about 480 CE in Aurangabad district of Maharashtra state in India. Ajanta Caves are a UNESCO World Heritage Site. Universally regarded as masterpieces of Buddhist religious art, the caves include paintings and rock-cut sculptures, described as among the f",392
Ajanta Caves,India,qa,wikipedia_rest,"Question: What is special about Ajanta Caves? Answer: The Ajanta Caves are 30 rock-cut Buddhist cave monuments dating from the second century BCE to about 480 CE in Aurangabad district of Maharashtra state in India. Ajanta Caves are a UNESCO World Heritage Site. Universally regarded as masterpieces of Buddhist religious art, the caves include paintings",354
Ajanta Caves,India,chat,wikipedia_api+csv,"User: Tell me about Ajanta Caves. Assistant: The Ajanta Caves are 30 rock-cut Buddhist cave monuments dating from the second century BCE to about 480 CE in Aurangabad district of Maharashtra state in India. Ajanta Caves are a UNESCO World Heritage Site. Universally regarded as masterpieces of Buddhist religious art, the cav User: Where is it? Assistant: Ajanta Caves is in India, Asia.",387
Ellora Caves,India,dossier,curated_csv,Site: Ellora Caves. Country: India. Continent: Asia. Era: 6th - 10th century CE (midpoint 800 CE). Civilization: Rashtrakuta / Yadava India. Religion: Hinduism / Buddhism / Jainism. Architecture: Rock-cut monolithic architecture. Material: Basalt. Structure: 34 caves. Preservation: Good. Popularity: High.,306
Ellora Caves,India,qa,curated_csv,"Question: Where is Ellora Caves? Answer: Ellora Caves is in India, Asia.",72
Ellora Caves,India,qa,curated_csv,Question: What is the architecture of Ellora Caves? Answer: Rock-cut monolithic architecture using Basalt.,106
Ellora Caves,India,qa,curated_csv,"Question: What era is Ellora Caves from? Answer: Ellora Caves belongs to the 6th - 10th century CE era, associated with Rashtrakuta / Yadava India.",147
Ellora Caves,India,qa,curated_csv,Question: What religion is linked to Ellora Caves? Answer: Hinduism / Buddhism / Jainism. Structure type: 34 caves. Preservation: Good.,135
Ellora Caves,India,qa,curated_csv,Question: Tell me about Ellora Caves. Answer: Site: Ellora Caves. Country: India. Continent: Asia. Era: 6th - 10th century CE (midpoint 800 CE). Civilization: Rashtrakuta / Yadava India. Religion: Hinduism / Buddhism / Jainism. Architecture: Rock-cut monolithic architecture. Material: Basalt. Structure: 34 caves. Preservation: Good. Popularity: High.,352
Ellora Caves,India,qa,wikipedia_rest,"Question: Summarize Ellora Caves. Answer: The Ellora Caves are a UNESCO World Heritage Site in Aurangabad, India. It is one of the largest rock-cut cave complexes in the world, with artwork dating from AD 600 1000, including Hindu, Buddhist, and Jain caves. The complex is a leading example of Indian rock-cut architecture, and several are not strictly ""caves"" in that they have no roof. Cave",392
Ellora Caves,India,qa,wikipedia_rest,"Question: What is special about Ellora Caves? Answer: The Ellora Caves are a UNESCO World Heritage Site in Aurangabad, India. It is one of the largest rock-cut cave complexes in the world, with artwork dating from AD 600 1000, including Hindu, Buddhist, and Jain caves. The complex is a leading example of Indian rock-cut architecture, and several are no",354
Ellora Caves,India,chat,wikipedia_api+csv,"User: Tell me about Ellora Caves. Assistant: The Ellora Caves are a UNESCO World Heritage Site in Aurangabad, India. It is one of the largest rock-cut cave complexes in the world, with artwork dating from AD 600 1000, including Hindu, Buddhist, and Jain caves. The complex is a leading example of Indian rock-cut architecture User: Where is it? Assistant: Ellora Caves is in India, Asia.",387
Konark Sun Temple,India,dossier,curated_csv,"Site: Konark Sun Temple. Country: India. Continent: Asia. Era: c. 1250 CE (midpoint 1250 CE). Civilization: Eastern Ganga dynasty. Religion: Hinduism. Architecture: Kalinga (temple as chariot). Material: Sandstone / laterite. Structure: Temple with 24 wheels and 7 horses. Preservation: Partially ruined, preserved. Popularity: High.",333
Konark Sun Temple,India,qa,curated_csv,"Question: Where is Konark Sun Temple? Answer: Konark Sun Temple is in India, Asia.",82
Konark Sun Temple,India,qa,curated_csv,Question: What is the architecture of Konark Sun Temple? Answer: Kalinga (temple as chariot) using Sandstone / laterite.,120
Konark Sun Temple,India,qa,curated_csv,"Question: What era is Konark Sun Temple from? Answer: Konark Sun Temple belongs to the c. 1250 CE era, associated with Eastern Ganga dynasty.",141
Konark Sun Temple,India,qa,curated_csv,"Question: What religion is linked to Konark Sun Temple? Answer: Hinduism. Structure type: Temple with 24 wheels and 7 horses. Preservation: Partially ruined, preserved.",168
Konark Sun Temple,India,qa,curated_csv,"Question: Tell me about Konark Sun Temple. Answer: Site: Konark Sun Temple. Country: India. Continent: Asia. Era: c. 1250 CE (midpoint 1250 CE). Civilization: Eastern Ganga dynasty. Religion: Hinduism. Architecture: Kalinga (temple as chariot). Material: Sandstone / laterite. Structure: Temple with 24 wheels and 7 horses. Preservation: Partially ruined, preserved. Popularity: High.",384
Konark Sun Temple,India,qa,wikipedia_rest,"Question: Summarize Konark Sun Temple. Answer: Konark Sun Temple is a 13th-century CE Hindu Sun temple at Konark about 35 kilometres (22 mi) northeast from Puri city on the coastline in Puri district, Odisha, India. The temple is attributed to king Narasingha Deva I of the Eastern Ganga dynasty about 1250 CE. Dedicated to the Hindu Sun-god Surya, it reflects the pinnacle of Kalingan architectur",397
Konark Sun Temple,India,qa,wikipedia_rest,"Question: What is special about Konark Sun Temple? Answer: Konark Sun Temple is a 13th-century CE Hindu Sun temple at Konark about 35 kilometres (22 mi) northeast from Puri city on the coastline in Puri district, Odisha, India. The temple is attributed to king Narasingha Deva I of the Eastern Ganga dynasty about 1250 CE. Dedicated to the Hindu Sun-god Surya",359
Konark Sun Temple,India,chat,wikipedia_api+csv,"User: Tell me about Konark Sun Temple. Assistant: Konark Sun Temple is a 13th-century CE Hindu Sun temple at Konark about 35 kilometres (22 mi) northeast from Puri city on the coastline in Puri district, Odisha, India. The temple is attributed to king Narasingha Deva I of the Eastern Ganga dynasty about 1250 CE. Dedicated to the User: Where is it? Assistant: Konark Sun Temple is in India, Asia.",397
Pattadakal,India,dossier,curated_csv,Site: Pattadakal. Country: India. Continent: Asia. Era: 7th - 8th century AD (midpoint 700 AD). Civilization: Chalukya India. Religion: Hinduism / Jainism. Architecture: Blend of Nagara / Dravidian styles. Material: Sandstone / carved stone. Structure: Group of temples. Preservation: Good. Popularity: Moderate.,312
Pattadakal,India,qa,curated_csv,"Question: Where is Pattadakal? Answer: Pattadakal is in India, Asia.",68
Pattadakal,India,qa,curated_csv,Question: What is the architecture of Pattadakal? Answer: Blend of Nagara / Dravidian styles using Sandstone / carved stone.,124
Pattadakal,India,qa,curated_csv,"Question: What era is Pattadakal from? Answer: Pattadakal belongs to the 7th - 8th century AD era, associated with Chalukya India.",130
Pattadakal,India,qa,curated_csv,Question: What religion is linked to Pattadakal? Answer: Hinduism / Jainism. Structure type: Group of temples. Preservation: Good.,130
Pattadakal,India,qa,curated_csv,Question: Tell me about Pattadakal. Answer: Site: Pattadakal. Country: India. Continent: Asia. Era: 7th - 8th century AD (midpoint 700 AD). Civilization: Chalukya India. Religion: Hinduism / Jainism. Architecture: Blend of Nagara / Dravidian styles. Material: Sandstone / carved stone. Structure: Group of temples. Preservation: Good. Popularity: Moderate.,356
Pattadakal,India,qa,wikipedia_rest,"Question: Summarize Pattadakal. Answer: Pattadakal (Pattadakallu), also called Raktapura, is a complex of 7th and 8th century CE Hindu and Jain temples in northern Karnataka, India. Located on the west bank of the Malaprabha River in Bagalkot district, this UNESCO World Heritage Site is 23 kilometres (14 mi) from Badami and about 9.7 kilometres (6 mi) from Aihole, both of which are histo",390
Pattadakal,India,qa,wikipedia_rest,"Question: What is special about Pattadakal? Answer: Pattadakal (Pattadakallu), also called Raktapura, is a complex of 7th and 8th century CE Hindu and Jain temples in northern Karnataka, India. Located on the west bank of the Malaprabha River in Bagalkot district, this UNESCO World Heritage Site is 23 kilometres (14 mi) from Badami and about 9.7 kilo",352
Pattadakal,India,chat,wikipedia_api+csv,"User: Tell me about Pattadakal. Assistant: Pattadakal (Pattadakallu), also called Raktapura, is a complex of 7th and 8th century CE Hindu and Jain temples in northern Karnataka, India. Located on the west bank of the Malaprabha River in Bagalkot district, this UNESCO World Heritage Site is 23 kilometres (14 mi) from Badam User: Where is it? Assistant: Pattadakal is in India, Asia.",383
Khajuraho Group of Monuments,India,dossier,curated_csv,Site: Khajuraho Group of Monuments. Country: India. Continent: Asia. Era: 950-1050 AD (midpoint 1000 AD). Civilization: Chandela dynasty. Religion: Hinduism / Jainism. Architecture: Nagara temple architecture. Material: Sandstone. Structure: 23 temples. Preservation: Good. Popularity: High.,291
Khajuraho Group of Monuments,India,qa,curated_csv,"Question: Where is Khajuraho Group of Monuments? Answer: Khajuraho Group of Monuments is in India, Asia.",104
Khajuraho Group of Monuments,India,qa,curated_csv,Question: What is the architecture of Khajuraho Group of Monuments? Answer: Nagara temple architecture using Sandstone.,119
Khajuraho Group of Monuments,India,qa,curated_csv,"Question: What era is Khajuraho Group of Monuments from? Answer: Khajuraho Group of Monuments belongs to the 950-1050 AD era, associated with Chandela dynasty.",159
Khajuraho Group of Monuments,India,qa,curated_csv,Question: What religion is linked to Khajuraho Group of Monuments? Answer: Hinduism / Jainism. Structure type: 23 temples. Preservation: Good.,142
Khajuraho Group of Monuments,India,qa,curated_csv,Question: Tell me about Khajuraho Group of Monuments. Answer: Site: Khajuraho Group of Monuments. Country: India. Continent: Asia. Era: 950-1050 AD (midpoint 1000 AD). Civilization: Chandela dynasty. Religion: Hinduism / Jainism. Architecture: Nagara temple architecture. Material: Sandstone. Structure: 23 temples. Preservation: Good. Popularity: High.,353
Khajuraho Group of Monuments,India,qa,wikipedia_rest,"Question: Summarize Khajuraho Group of Monuments. Answer: The Khajuraho Group of Monuments are a group of Hindu and Digambara Jain temples in Chhatarpur district, Madhya Pradesh, India. They are about 46 km from Chhatarpur city, the district headquarters, 283 km from Gwalior, 175 kilometres (109 mi) southeast of Jhansi, 10 kilometres (6.2 mi) from Khajwa and 9 kilometres (5.6 mi) from Rajnagar. The temple",408
Khajuraho Group of Monuments,India,qa,wikipedia_rest,"Question: What is special about Khajuraho Group of Monuments? Answer: The Khajuraho Group of Monuments are a group of Hindu and Digambara Jain temples in Chhatarpur district, Madhya Pradesh, India. They are about 46 km from Chhatarpur city, the district headquarters, 283 km from Gwalior, 175 kilometres (109 mi) southeast of Jhansi, 10 kilometres (6.2 mi) from Khajwa a",370
Khajuraho Group of Monuments,India,chat,wikipedia_api+csv,"User: Tell me about Khajuraho Group of Monuments. Assistant: The Khajuraho Group of Monuments are a group of Hindu and Digambara Jain temples in Chhatarpur district, Madhya Pradesh, India. They are about 46 km (28.6 mi) from Chhatarpur city, the district headquarters, 283 km (177 mi) from Gwalior, 175 kilometres (109 mi) southeast of Jhans User: Where is it? Assistant: Khajuraho Group of Monuments is in India, Asia.",419
Hampi Monuments,India,dossier,curated_csv,"Site: Hampi Monuments. Country: India. Continent: Asia. Era: 14th - 16th centuries (midpoint 1450 AD). Civilization: Vijayanagara Empire. Religion: Hinduism. Architecture: Dravidian / urban architecture. Material: Granite, brick, lime mortar. Structure: City ruins, temples, palaces. Preservation: Ruins preserved. Popularity: Very high.",337
Hampi Monuments,India,qa,curated_csv,"Question: Where is Hampi Monuments? Answer: Hampi Monuments is in India, Asia.",78
Hampi Monuments,India,qa,curated_csv,"Question: What is the architecture of Hampi Monuments? Answer: Dravidian / urban architecture using Granite, brick, lime mortar.",128
Hampi Monuments,India,qa,curated_csv,"Question: What era is Hampi Monuments from? Answer: Hampi Monuments belongs to the 14th - 16th centuries era, associated with Vijayanagara Empire.",146
Hampi Monuments,India,qa,curated_csv,"Question: What religion is linked to Hampi Monuments? Answer: Hinduism. Structure type: City ruins, temples, palaces. Preservation: Ruins preserved.",148
Hampi Monuments,India,qa,curated_csv,"Question: Tell me about Hampi Monuments. Answer: Site: Hampi Monuments. Country: India. Continent: Asia. Era: 14th - 16th centuries (midpoint 1450 AD). Civilization: Vijayanagara Empire. Religion: Hinduism. Architecture: Dravidian / urban architecture. Material: Granite, brick, lime mortar. Structure: City ruins, temples, palaces. Preservation: Ruins preserved. Popularity: Very high.",386
Hampi Monuments,India,qa,wikipedia_rest,"Question: Summarize Hampi Monuments. Answer: Hampi or Hampe, also referred to as the Group of Monuments at Hampi, is a UNESCO World Heritage Site located in the town of Hampi in Vijayanagara district, east-central Karnataka, India. Hampi predates the Vijayanagara Empire; it is mentioned in the Ramayana and the Puranas of Hinduism as Pampa Devi Tirtha Kshetra. Hampi continues as a religious ce",395
Hampi Monuments,India,qa,wikipedia_rest,"Question: What is special about Hampi Monuments? Answer: Hampi or Hampe, also referred to as the Group of Monuments at Hampi, is a UNESCO World Heritage Site located in the town of Hampi in Vijayanagara district, east-central Karnataka, India. Hampi predates the Vijayanagara Empire; it is mentioned in the Ramayana and the Puranas of Hinduism as Pampa Devi",357
Hampi Monuments,India,chat,wikipedia_api+csv,"User: Tell me about Hampi Monuments. Assistant: Hampi or Hampe (Kannada: [h mpe]), also referred to as the Group of Monuments at Hampi, is a UNESCO World Heritage Site located in the town of Hampi in Vijayanagara district, east-central Karnataka, India. Hampi predates the Vijayanagara Empire; it is mentioned in the Ramayana an User: Where is it? Assistant: Hampi Monuments is in India, Asia.",393
Qutb Minar,India,dossier,curated_csv,"Site: Qutb Minar. Country: India. Continent: Asia. Era: c. 1193 - 1369 CE (midpoint 1281 CE). Civilization: Delhi Sultanate. Religion: Islam. Architecture: Indo-Islamic architecture. Material: Red sandstone, marble . Structure: Minaret, mosque, tombs. Preservation: Good. Popularity: Very high.",294
Qutb Minar,India,qa,curated_csv,"Question: Where is Qutb Minar? Answer: Qutb Minar is in India, Asia.",68
Qutb Minar,India,qa,curated_csv,"Question: What is the architecture of Qutb Minar? Answer: Indo-Islamic architecture using Red sandstone, marble.",112
Qutb Minar,India,qa,curated_csv,"Question: What era is Qutb Minar from? Answer: Qutb Minar belongs to the c. 1193 - 1369 CE era, associated with Delhi Sultanate.",128
Qutb Minar,India,qa,curated_csv,"Question: What religion is linked to Qutb Minar? Answer: Islam. Structure type: Minaret, mosque, tombs. Preservation: Good.",123
Qutb Minar,India,qa,curated_csv,"Question: Tell me about Qutb Minar. Answer: Site: Qutb Minar. Country: India. Continent: Asia. Era: c. 1193 - 1369 CE (midpoint 1281 CE). Civilization: Delhi Sultanate. Religion: Islam. Architecture: Indo-Islamic architecture. Material: Red sandstone, marble . Structure: Minaret, mosque, tombs. Preservation: Good. Popularity: Very high.",338
Qutb Minar,India,wiki_description,wikipedia_rest,"Qutb Minar: Minaret in the Mehrauli area of Delhi, India.",57
Qutb Minar,India,qa,wikipedia_rest,"Question: Summarize Qutb Minar. Answer: The Qutb Minar, also spelled Qutub Minar and Qutab Minar, is a minaret and victory tower, built during the Delhi sultanate, and comprising the Qutb complex, a UNESCO World Heritage Site in Mehrauli, South Delhi, India. It was mostly built between 1199 and 1220, contains 399 steps, and is one of the most frequented heritage spots in the city. After ",390
Qutb Minar,India,qa,wikipedia_rest,"Question: What is special about Qutb Minar? Answer: The Qutb Minar, also spelled Qutub Minar and Qutab Minar, is a minaret and victory tower, built during the Delhi sultanate, and comprising the Qutb complex, a UNESCO World Heritage Site in Mehrauli, South Delhi, India. It was mostly built between 1199 and 1220, contains 399 steps, and is one of the ",352
Qutb Minar,India,chat,wikipedia_api+csv,"User: Tell me about Qutb Minar. Assistant: The Qutb Minar, also spelled Qutub Minar and Qutab Minar, is a minaret and victory tower, built during the Delhi sultanate, and comprising the Qutb complex, a UNESCO World Heritage Site in Mehrauli, South Delhi, India. It was mostly built between 1199 and 1220, contains 399 steps User: Where is it? Assistant: Qutb Minar is in India, Asia.",383
Chittorgarh Fort,India,dossier,curated_csv,Site: Chittorgarh Fort. Country: India. Continent: Asia. Era: 7th century AD (midpoint 650 AD). Civilization: Mewar (Rajput polity). Religion: Hinduism. Architecture: Rajput hill-fort architecture. Material: Stone masonry. Structure: Fort complex. Preservation: Good. Popularity: High.,285
Chittorgarh Fort,India,qa,curated_csv,"Question: Where is Chittorgarh Fort? Answer: Chittorgarh Fort is in India, Asia.",80
Chittorgarh Fort,India,qa,curated_csv,Question: What is the architecture of Chittorgarh Fort? Answer: Rajput hill-fort architecture using Stone masonry.,114
Chittorgarh Fort,India,qa,curated_csv,"Question: What era is Chittorgarh Fort from? Answer: Chittorgarh Fort belongs to the 7th century AD era, associated with Mewar (Rajput polity).",143
Chittorgarh Fort,India,qa,curated_csv,Question: What religion is linked to Chittorgarh Fort? Answer: Hinduism. Structure type: Fort complex. Preservation: Good.,122
Chittorgarh Fort,India,qa,curated_csv,Question: Tell me about Chittorgarh Fort. Answer: Site: Chittorgarh Fort. Country: India. Continent: Asia. Era: 7th century AD (midpoint 650 AD). Civilization: Mewar (Rajput polity). Religion: Hinduism. Architecture: Rajput hill-fort architecture. Material: Stone masonry. Structure: Fort complex. Preservation: Good. Popularity: High.,335
Chittorgarh Fort,India,wiki_description,wikipedia_rest,"Chittorgarh Fort: Historic fort in Rajasthan, India.",52
Chittorgarh Fort,India,qa,wikipedia_rest,"Question: Summarize Chittorgarh Fort. Answer: Chittor Fort, also known as Chittod Fort, is one of the largest forts in India. It is a UNESCO World Heritage Site. The fort was the capital of Mewar and is located in the present-day city of Chittorgarh. It sprawls over a hill 180 m (590.6 ft) in height, spread over an area of 280 ha above the plains of the valley drained by the Berach River. The ",396
Chittorgarh Fort,India,qa,wikipedia_rest,"Question: What is special about Chittorgarh Fort? Answer: Chittor Fort, also known as Chittod Fort, is one of the largest forts in India. It is a UNESCO World Heritage Site. The fort was the capital of Mewar and is located in the present-day city of Chittorgarh. It sprawls over a hill 180 m (590.6 ft) in height, spread over an area of 280 ha above the plai",358
Chittorgarh Fort,India,chat,wikipedia_api+csv,"User: Tell me about Chittorgarh Fort. Assistant: Chittor Fort (the literal translation of the Hindi Chittorgarh), also known as Chittod Fort, is one of the largest forts in India. It is a UNESCO World Heritage Site. The fort was the capital of Mewar and is located in the present-day city of Chittorgarh. It sprawls over a hill 1 User: Where is it? Assistant: Chittorgarh Fort is in India, Asia.",395
Great Living Chola Temples,India,dossier,curated_csv,Site: Great Living Chola Temples. Country: India. Continent: Asia. Era: 11th - 12th centuries (midpoint 1100 AD). Civilization: Chola Empire. Religion: Hinduism. Architecture: Dravidian (Chola) temple architecture. Material: Granite. Structure: 3 major temples. Preservation: Excellent. Popularity: Moderate-High.,313
Great Living Chola Temples,India,qa,curated_csv,"Question: Where is Great Living Chola Temples? Answer: Great Living Chola Temples is in India, Asia.",100
Great Living Chola Temples,India,qa,curated_csv,Question: What is the architecture of Great Living Chola Temples? Answer: Dravidian (Chola) temple architecture using Granite.,126
Great Living Chola Temples,India,qa,curated_csv,"Question: What era is Great Living Chola Temples from? Answer: Great Living Chola Temples belongs to the 11th - 12th centuries era, associated with Chola Empire.",161
Great Living Chola Temples,India,qa,curated_csv,Question: What religion is linked to Great Living Chola Temples? Answer: Hinduism. Structure type: 3 major temples. Preservation: Excellent.,140
Great Living Chola Temples,India,qa,curated_csv,Question: Tell me about Great Living Chola Temples. Answer: Site: Great Living Chola Temples. Country: India. Continent: Asia. Era: 11th - 12th centuries (midpoint 1100 AD). Civilization: Chola Empire. Religion: Hinduism. Architecture: Dravidian (Chola) temple architecture. Material: Granite. Structure: 3 major temples. Preservation: Excellent. Popularity: Moderate-High.,373
Great Living Chola Temples,India,qa,wikipedia_rest,"Question: Summarize Great Living Chola Temples. Answer: The Great Living Chola Temples is a UNESCO World Heritage Site designation for a group of three Chola dynasty era Hindu temples in the Indian state of Tamil Nadu. The temple at Thanjavur was added in the list in 1987, while the other two temples were added in 2004.",321
Great Living Chola Temples,India,qa,wikipedia_rest,"Question: What is special about Great Living Chola Temples? Answer: The Great Living Chola Temples is a UNESCO World Heritage Site designation for a group of three Chola dynasty era Hindu temples in the Indian state of Tamil Nadu. The temple at Thanjavur was added in the list in 1987, while the other two temples were added in 2004.",333
Great Living Chola Temples,India,chat,wikipedia_api+csv,"User: Tell me about Great Living Chola Temples. Assistant: The Great Living Chola Temples is a UNESCO World Heritage Site designation for a group of three Chola dynasty era Hindu temples in the Indian state of Tamil Nadu. The temple at Thanjavur was added in the list in 1987, while the other two temples were added in 2004. Completed betw User: Where is it? Assistant: Great Living Chola Temples is in India, Asia.",415
Sanchi Stupa,India,dossier,curated_csv,"Site: Sanchi Stupa. Country: India. Continent: Asia. Era: 3rd century BCE (midpoint 250 BCE). Civilization: Mauryan. Religion: Buddhism. Architecture: Stupa architecture (Mauryan). Material: Brick, stone . Structure: Great Stupa & smaller stupas. Preservation: Good. Popularity: High.",284
Sanchi Stupa,India,qa,curated_csv,"Question: Where is Sanchi Stupa? Answer: Sanchi Stupa is in India, Asia.",72
Sanchi Stupa,India,qa,curated_csv,"Question: What is the architecture of Sanchi Stupa? Answer: Stupa architecture (Mauryan) using Brick, stone.",108
Sanchi Stupa,India,qa,curated_csv,"Question: What era is Sanchi Stupa from? Answer: Sanchi Stupa belongs to the 3rd century BCE era, associated with Mauryan.",122
Sanchi Stupa,India,qa,curated_csv,Question: What religion is linked to Sanchi Stupa? Answer: Buddhism. Structure type: Great Stupa & smaller stupas. Preservation: Good.,134
Sanchi Stupa,India,qa,curated_csv,"Question: Tell me about Sanchi Stupa. Answer: Site: Sanchi Stupa. Country: India. Continent: Asia. Era: 3rd century BCE (midpoint 250 BCE). Civilization: Mauryan. Religion: Buddhism. Architecture: Stupa architecture (Mauryan). Material: Brick, stone . Structure: Great Stupa & smaller stupas. Preservation: Good. Popularity: High.",330
Sanchi Stupa,India,qa,wikipedia_rest,"Question: Summarize Sanchi Stupa. Answer: Sanchi Stupa is a Buddhist complex, famous for its Great Stupa, on a hilltop at Sanchi Town in Raisen District of the State of Madhya Pradesh, India. It is located about 23 kilometres from Raisen town, the district headquarters and 46 kilometres (29 mi) northeast of Bhopal, capital of Madhya Pradesh.",343
Sanchi Stupa,India,qa,wikipedia_rest,"Question: What is special about Sanchi Stupa? Answer: Sanchi Stupa is a Buddhist complex, famous for its Great Stupa, on a hilltop at Sanchi Town in Raisen District of the State of Madhya Pradesh, India. It is located about 23 kilometres from Raisen town, the district headquarters and 46 kilometres (29 mi) northeast of Bhopal, capital of Madhya Pradesh",354
Sanchi Stupa,India,chat,wikipedia_api+csv,"User: Tell me about Sanchi Stupa. Assistant: Sanchi Stupa is a Buddhist complex, famous for its Great Stupa, on a hilltop at Sanchi Town in Raisen District of the State of Madhya Pradesh, India. It is located about 23 kilometres from Raisen town, the district headquarters and 46 kilometres (29 mi) northeast of Bhopal, capit User: Where is it? Assistant: Sanchi Stupa is in India, Asia.",387
Temple of the Winged Lions,Jordan,dossier,curated_csv,Site: Temple of the Winged Lions. Country: Jordan. Continent: Asia. Era: 1st century AD (midpoint 50 AD). Civilization: Nabataean Kingdom. Religion: Nabataean . Architecture: Nabataean temple architecture. Material: Sandstone . Structure: Temple complex with cult rooms. Preservation: Moderate. Popularity: Low-Moderate.,320
Temple of the Winged Lions,Jordan,qa,curated_csv,"Question: Where is Temple of the Winged Lions? Answer: Temple of the Winged Lions is in Jordan, Asia.",101
Temple of the Winged Lions,Jordan,qa,curated_csv,Question: What is the architecture of Temple of the Winged Lions? Answer: Nabataean temple architecture using Sandstone.,120
Temple of the Winged Lions,Jordan,qa,curated_csv,"Question: What era is Temple of the Winged Lions from? Answer: Temple of the Winged Lions belongs to the 1st century AD era, associated with Nabataean Kingdom.",159
Temple of the Winged Lions,Jordan,qa,curated_csv,Question: What religion is linked to Temple of the Winged Lions? Answer: Nabataean. Structure type: Temple complex with cult rooms. Preservation: Moderate.,155
Temple of the Winged Lions,Jordan,qa,curated_csv,Question: Tell me about Temple of the Winged Lions. Answer: Site: Temple of the Winged Lions. Country: Jordan. Continent: Asia. Era: 1st century AD (midpoint 50 AD). Civilization: Nabataean Kingdom. Religion: Nabataean . Architecture: Nabataean temple architecture. Material: Sandstone . Structure: Temple complex with cult rooms. Preservation: Moderate. Popularity: Low-Moderate.,380
